wavelength_nm,TNT_mirrors_M1xM2xM3xM4,focal_reducer_L1_T,LRS_fold_mirrors_x2,LRS_collimator_T,VPH_grating_eff,Nikon_camera_T,CCD_QE_BEX2DD,LRS_only_throughput,TOTAL_system_throughput
522,0.9583,0.9929,0.9900,0.9940,0.6456,0.7099,0.8845,0.3989,0.3796
523,0.9590,0.9929,0.9900,0.9940,0.6490,0.7099,0.8842,0.4009,0.3817
524,0.9598,0.9930,0.9900,0.9940,0.6523,0.7099,0.8840,0.4028,0.3839
525,0.9606,0.9930,0.9900,0.9940,0.6556,0.7099,0.8838,0.4048,0.3861
526,0.9611,0.9931,0.9900,0.9940,0.6590,0.7099,0.8835,0.4067,0.3882
527,0.9615,0.9931,0.9900,0.9940,0.6623,0.7099,0.8832,0.4086,0.3902
528,0.9620,0.9931,0.9900,0.9940,0.6656,0.7099,0.8830,0.4105,0.3922
529,0.9625,0.9932,0.9900,0.9940,0.6689,0.7099,0.8828,0.4125,0.3943
530,0.9629,0.9932,0.9900,0.9940,0.6721,0.7099,0.8825,0.4144,0.3963
531,0.9634,0.9933,0.9900,0.9940,0.6754,0.7099,0.8822,0.4163,0.3983
532,0.9639,0.9933,0.9900,0.9940,0.6787,0.7099,0.8820,0.4181,0.4003
533,0.9643,0.9933,0.9900,0.9940,0.6819,0.7099,0.8818,0.4200,0.4023
534,0.9648,0.9934,0.9900,0.9940,0.6851,0.7099,0.8815,0.4219,0.4043
535,0.9653,0.9934,0.9900,0.9940,0.6883,0.7099,0.8812,0.4238,0.4063
536,0.9657,0.9935,0.9900,0.9940,0.6915,0.7099,0.8810,0.4256,0.4083
537,0.9662,0.9935,0.9900,0.9940,0.6947,0.7099,0.8808,0.4274,0.4103
538,0.9667,0.9935,0.9900,0.9940,0.6979,0.7099,0.8805,0.4293,0.4123
539,0.9671,0.9936,0.9900,0.9940,0.7011,0.7099,0.8802,0.4311,0.4142
540,0.9676,0.9936,0.9900,0.9940,0.7042,0.7099,0.8800,0.4329,0.4162
541,0.9681,0.9937,0.9900,0.9940,0.7074,0.7099,0.8800,0.4348,0.4183
542,0.9685,0.9937,0.9900,0.9940,0.7105,0.7099,0.8800,0.4368,0.4203
543,0.9690,0.9937,0.9900,0.9940,0.7136,0.7099,0.8800,0.4387,0.4224
544,0.9695,0.9938,0.9900,0.9940,0.7167,0.7099,0.8800,0.4406,0.4245
545,0.9699,0.9938,0.9900,0.9940,0.7197,0.7099,0.8800,0.4425,0.4265
